team,Date,Total Distance,Total Duration,timestamp,Seconds Moving,5km Time,Leg Number for Team,5km Elevation,Color
Canberra Kitties,June 3rd 2020,5.06,1223,6/3/2020 16:15,1223,1208.498024,11,52.37,Red
International Super Spreaders,June 3rd 2020,6.29,2328,6/3/2020 16:24,2328,1850.556439,32,20.67,#FFD700
Spunky Monkeys,June 3rd 2020,5.02,1361,6/3/2020 16:39,1361,1355.577689,34,8.76,#00A86B
Twelve Kitties,June 3rd 2020,5.01,1164,6/3/2020 16:43,1164,1161.676647,45,2.89,#CCCCFF
Footpussys,June 3rd 2020,5.04,1568,6/3/2020 16:49,1568,1555.555556,8,0.00,Orange
WhorunstheworldGIRLS,June 3rd 2020,5.05,1823,6/3/2020 16:54,1823,1804.950495,12,44.55,#1DD5EE
Spunky Monkeys,June 3rd 2020,5.08,1641,6/3/2020 17:10,1641,1615.15748,35,84.65,#00A86B
Twelve Kitties,June 3rd 2020,5.34,1499,6/3/2020 17:15,1499,1403.558052,46,12.17,#CCCCFF
Footpussys,June 3rd 2020,5.17,1537,6/3/2020 17:20,1537,1486.460348,9,17.41,Orange
Kinfolk,June 3rd 2020,5.11,2309,6/3/2020 17:36,2309,2259.295499,3,7.93,#BFFF00
Spunky Monkeys,June 3rd 2020,5.03,1330,6/3/2020 17:42,1330,1322.067594,36,34.79,#00A86B
Asante Sana Squash Banana,June 3rd 2020,5.01,1761,6/3/2020 17:42,1761,1757.48503,7,0.00,#E52B50
WhorunstheworldGIRLS,June 3rd 2020,5.02,2085,6/3/2020 17:47,2085,2076.693227,13,12.95,#1DD5EE
Twelve Kitties,June 3rd 2020,5.33,1416,6/3/2020 17:47,1416,1328.330206,47,9.38,#CCCCFF
Unicorns on the Run!,June 3rd 2020,5,2258,6/3/2020 17:56,2258,2258,11,89.70,White
RIOT Runners,June 3rd 2020,5.03,1886,6/3/2020 18:01,1886,1874.751491,16,9.54,#FFA500
Footpussys,June 3rd 2020,5.14,1532,6/3/2020 18:15,1532,1490.272374,10,59.34,Orange
Twelve Kitties,June 3rd 2020,5.03,1614,6/3/2020 18:19,1614,1604.373757,48,58.65,#CCCCFF
Spunky Monkeys,June 3rd 2020,5.03,1838,6/3/2020 18:19,1838,1827.037773,37,31.81,#00A86B
WhorunstheworldGIRLS,June 3rd 2020,5.07,1950,6/3/2020 18:29,1950,1923.076923,14,49.31,#1DD5EE
Twelve Kitties,June 3rd 2020,5,1148,6/3/2020 18:45,1148,1148,49,14.00,#CCCCFF
RIOT Runners,June 3rd 2020,5.04,2405,6/3/2020 18:51,2405,2385.912698,17,45.63,#FFA500
Spunky Monkeys,June 3rd 2020,5.03,1433,6/3/2020 18:51,1433,1424.45328,38,1.99,#00A86B
Unicorns on the Run!,June 3rd 2020,5.01,1956,6/3/2020 18:56,1956,1952.095808,12,74.45,White
Footpussys,June 3rd 2020,5.02,1658,6/3/2020 18:56,1658,1651.394422,11,13.94,Orange
Twelve Kitties,June 3rd 2020,5.01,1354,6/3/2020 19:11,1354,1351.297405,50,8.98,#CCCCFF
International Super Spreaders,June 3rd 2020,5.11,1643,6/3/2020 19:16,1643,1607.632094,33,16.63,#FFD700
Spunky Monkeys,June 3rd 2020,5.3,1453,6/3/2020 19:21,1453,1370.754717,39,5.28,#00A86B
Spunky Monkeys,June 3rd 2020,5.05,1520,6/3/2020 19:51,1520,1504.950495,40,8.51,#00A86B
International Super Spreaders,June 3rd 2020,5,1358,6/3/2020 19:51,1358,1358,34,0.00,#FFD700
Asante Sana Squash Banana,June 3rd 2020,5.06,1712,6/3/2020 20:20,1712,1691.699605,8,29.05,#E52B50
Spunky Monkeys,June 3rd 2020,5.02,1881,6/3/2020 20:30,1881,1873.505976,41,41.83,#00A86B
International Super Spreaders,June 3rd 2020,5.76,2250,6/3/2020 20:40,2250,1953.125,35,73.87,#FFD700
Spunky Monkeys,June 3rd 2020,5.01,1418,6/3/2020 21:00,1418,1415.169661,42,42.61,#00A86B
Spunky Monkeys,June 3rd 2020,5.03,1498,6/3/2020 21:30,1498,1489.065606,43,51.69,#00A86B
Spunky Monkeys,June 3rd 2020,5.03,1316,6/3/2020 21:59,1316,1308.151093,44,23.86,#00A86B
International Super Spreaders,June 3rd 2020,5.19,2230,6/3/2020 21:59,2230,2148.362235,36,167.63,#FFD700
Spunky Monkeys,June 3rd 2020,5.04,1838,6/3/2020 22:36,1838,1823.412698,45,34.72,#00A86B
International Super Spreaders,June 3rd 2020,5.01,1469,6/3/2020 22:41,1469,1466.067864,37,18.96,#FFD700
Poko Fish,June 3rd 2020,5,3092,6/3/2020 22:56,3092,3092,6,0.00,#9966CC
International Super Spreaders,June 3rd 2020,5.07,1559,6/3/2020 23:07,1559,1537.475345,38,34.52,#FFD700
Spunky Monkeys,June 3rd 2020,5.04,1532,6/3/2020 23:07,1532,1519.84127,46,12.90,#00A86B
Spunky Monkeys,June 3rd 2020,5.34,1457,6/3/2020 23:36,1457,1364.23221,47,5.24,#00A86B
International Super Spreaders,June 3rd 2020,5.01,1695,6/3/2020 23:41,1695,1691.616766,39,24.95,#FFD700
International Super Spreaders,June 3rd 2020,5.1,1479,6/4/2020 0:12,1479,1450,40,50.98,#FFD700
Spunky Monkeys,June 3rd 2020,5.01,1234,6/4/2020 0:17,1234,1231.536926,48,8.68,#00A86B
International Super Spreaders,June 3rd 2020,5.02,1434,6/4/2020 0:42,1434,1428.286853,41,46.91,#FFD700
International Super Spreaders,June 3rd 2020,5.64,2215,6/4/2020 1:22,2215,1963.652482,42,74.29,#FFD700
Spunky Monkeys,June 3rd 2020,5.09,3123,6/4/2020 1:33,3123,3067.779961,49,61.89,#00A86B
International Super Spreaders,June 3rd 2020,5.15,1866,6/4/2020 2:02,1866,1811.650485,43,172.82,#FFD700
International Super Spreaders,June 3rd 2020,5.01,1577,6/4/2020 2:40,1577,1573.852295,44,18.96,#FFD700
International Super Spreaders,June 3rd 2020,5.07,1556,6/4/2020 3:12,1556,1534.516765,45,30.57,#FFD700
International Super Spreaders,June 3rd 2020,5.01,1627,6/4/2020 3:50,1627,1623.752495,46,15.97,#FFD700
International Super Spreaders,June 3rd 2020,5.01,1627,6/4/2020 3:46,1627,1623.752495,46,15.97,#FFD700
International Super Spreaders,June 3rd 2020,5.05,1488,6/4/2020 4:16,1488,1473.267327,47,30.69,#FFD700
